fips,broadband,perc_less_highschool,perc_highschool,perc_some_college,perc_college,unemployment_rate,median_house_income,urbanization_class,poverty_percentage,poverty_percentage_0-17
1001,0.703590895,11.3,32.6,28.4,27.7,2.7,59338.0,3.0,13.8,19.3
1003,0.77110573,9.7,27.6,31.3,31.3,2.7,57588.0,4.0,9.8,13.9
1005,0.5414957850000001,27.0,35.7,25.1,12.2,3.8,34382.0,6.0,30.9,43.9
1007,0.63387078,16.8,47.3,24.4,11.5,3.1,46064.0,2.0,21.8,27.8
1009,0.635846765,19.8,34.0,33.5,12.6,2.7,50412.0,2.0,13.2,18.0
1011,0.572277785,24.8,39.7,22.3,13.3,3.6,29267.0,6.0,42.5,68.3
1013,0.60641837,15.4,43.9,24.6,16.1,3.6,37365.0,6.0,24.5,36.3
1015,0.723202442,15.9,32.4,33.7,18.0,3.5,45400.0,4.0,19.5,26.5
1017,0.61892381,18.6,38.4,29.7,13.2,2.9,39917.0,5.0,18.7,30.7
1019,0.64335969,19.8,38.3,29.0,12.9,2.9,42132.0,6.0,16.3,24.7
1021,0.606014935,17.8,44.1,24.0,14.2,2.7,47547.0,2.0,17.3,23.3
1023,0.557947365,18.6,38.2,30.2,13.0,4.7,39907.0,6.0,22.1,32.1
1025,0.587100925,18.8,43.7,24.9,12.6,5.8,40741.0,6.0,22.8,31.7
1027,0.616362305,24.5,36.3,29.1,10.2,3.0,39201.0,6.0,17.6,25.8
1029,0.590617865,22.6,39.6,24.1,13.7,3.2,46495.0,6.0,16.0,22.9
1031,0.686627,13.8,27.9,34.9,23.4,2.9,55122.0,5.0,13.8,21.9
1033,0.624018875,15.6,36.0,29.7,18.7,3.7,49055.0,4.0,13.8,21.0
1035,0.486,19.2,48.8,21.3,10.7,4.0,32613.0,6.0,24.4,40.1
1037,0.5656860499999999,20.4,38.6,29.5,11.6,3.0,42423.0,5.0,18.9,30.1
1039,0.57976879,17.1,35.4,32.5,14.9,3.4,40203.0,6.0,19.9,29.5
