fips,edu_score,broadband,poverty_percentage_0-17,median_house_income,unemployment_rate,urban1,urban2,urban3,urban4,urban5,urban6
1001,2.725,0.703590895,19.3,59338.0,2.7,0,0,1,0,0,0
1003,2.84,0.77110573,13.9,57588.0,2.7,0,0,0,1,0,0
1005,2.225,0.5414957850000001,43.9,34382.0,3.8,0,0,0,0,0,1
1007,2.3059999999999996,0.63387078,27.8,46064.0,3.1,0,1,0,0,0,0
1009,2.387,0.635846765,18.0,50412.0,2.7,0,1,0,0,0,0
1011,2.2430000000000003,0.572277785,68.3,29267.0,3.6,0,0,0,0,0,1
1013,2.414,0.60641837,36.3,37365.0,3.6,0,0,0,0,0,1
1015,2.5380000000000003,0.7232024420000001,26.5,45400.0,3.5,0,0,0,1,0,0
1017,2.373,0.61892381,30.7,39917.0,2.9,0,0,0,0,1,0
1019,2.3499999999999996,0.64335969,24.7,42132.0,2.9,0,0,0,0,0,1
1021,2.3480000000000003,0.606014935,23.3,47547.0,2.7,0,1,0,0,0,0
1023,2.376,0.557947365,32.1,39907.0,4.7,0,0,0,0,0,1
1025,2.3129999999999997,0.587100925,31.7,40741.0,5.8,0,0,0,0,0,1
1027,2.252,0.616362305,25.8,39201.0,3.0,0,0,0,0,0,1
1029,2.289,0.590617865,22.9,46495.0,3.2,0,0,0,0,0,1
1031,2.679,0.6866270000000001,21.9,55122.0,2.9,0,0,0,0,1,0
1033,2.515,0.624018875,21.0,49055.0,3.7,0,0,0,1,0,0
1035,2.235,0.486,40.1,32613.0,4.0,0,0,0,0,0,1
1037,2.325,0.5656860499999999,30.1,42423.0,3.0,0,0,0,0,1,0
1039,2.45,0.57976879,29.5,40203.0,3.4,0,0,0,0,0,1
1041,2.336,0.572590175,30.8,39057.0,2.8,0,0,0,0,0,1
1043,2.4139999999999997,0.702138278,19.7,45796.0,2.6,0,0,0,0,1,0
1045,2.559,0.645750015,24.4,45309.0,3.1,0,0,0,0,1,0
1047,2.413,0.579135925,48.0,34035.0,5.5,0,0,0,0,1,0
1049,2.2760000000000002,0.6469336159999999,29.6,39491.0,2.8,0,0,0,0,0,1
1051,2.642,0.8140420079999999,16.3,60367.0,2.6,0,0,1,0,0,0
1053,2.315,0.582165625,32.8,38418.0,3.5,0,0,0,0,0,1
1055,2.5380000000000003,0.7322564139999999,28.8,44903.0,3.3,0,0,0,1,0,0
1057,2.359,0.621166675,37.4,39254.0,3.1,0,0,0,0,0,1
1059,2.297,0.58365625,30.1,39388.0,2.8,0,0,0,0,0,1
1061,2.321,0.627748965,29.5,37823.0,2.9,0,0,0,1,0,0
1063,2.251,0.440677405,44.0,28524.0,5.6,0,0,0,0,0,1
1065,2.387,0.5342402500000001,35.6,34724.0,3.9,0,0,0,1,0,0
1067,2.449,0.674432815,27.2,46027.0,3.6,0,0,0,1,0,0
1069,2.605,0.703114378,21.9,47993.0,3.0,0,0,0,1,0,0
